City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,vila franca do campo,37.7167,-25.4333,64.89,99,78,19.01,PT,1707704516
138,turi,40.9173,17.0212,46.74,90,0,4.61,IT,1707704914
139,mount pearl,47.5166,-52.7813,34.32,93,100,6.91,CA,1707704521
140,syktyvkar,61.6764,50.8099,-0.09,91,20,4.47,RU,1707704914
141,sisimiut,66.9395,-53.6735,-10.07,90,32,6.58,GL,1707704529
142,georgetown,5.4112,100.3354,84.15,58,20,16.11,MY,1707704522
143,anadyr,64.75,177.4833,-10.7,69,100,15.66,RU,1707704505
144,olonkinbyen,70.9221,-8.7187,27.64,63,100,11.86,SJ,1707704509
145,krivosheino,57.3431,83.9261,-4.13,96,97,7.43,RU,1707704915
146,rio grande,-32.035,-52.0986,75.94,93,9,13.96,BR,1707704832
147,toliara,-23.35,43.6667,77.9,88,100,9.86,MG,1707704531
148,ngerengere,-6.75,38.1167,74.01,97,100,3.11,TZ,1707704915
149,san patricio,28.017,-97.5169,69.66,62,0,11.1,US,1707704501
150,manta,-0.95,-80.7333,80.01,83,75,15.01,EC,1707704915
151,saurimo,-9.6608,20.3916,66.22,92,100,0.85,AO,1707704915
152,ilulissat,69.2167,-51.1,-2.18,65,75,12.66,GL,1707704492
153,nemuro,43.3236,145.575,26.82,67,14,13.02,JP,1707704557
154,salekhard,66.53,66.6019,-26.77,93,10,5.08,RU,1707704915
155,vilaka,57.1846,27.6722,29.66,98,100,6.15,LV,1707704915
156,kamina,-8.7386,24.9906,64.36,95,100,0.18,CD,1707704916
157,tokar,18.4254,37.729,70.68,66,69,8.23,SD,1707704916
158,saudarkrokur,65.7461,-19.6394,32.4,83,100,21.03,IS,1707704553
159,beledweyne,4.7358,45.2036,74.66,78,100,9.08,SO,1707704916
160,isangel,-19.55,169.2667,85.33,75,13,9.1,VU,1707704916
161,bilibino,68.0546,166.4372,-32.33,97,49,1.54,RU,1707704509
162,sao gabriel,-30.3364,-54.32,75.22,85,65,5.41,BR,1707704916
163,viedma,-40.8135,-62.9967,81.19,28,100,7.11,AR,1707704525
164,mahajanga,-15.7167,46.3167,77.02,94,40,2.3,MG,1707704917
165,kazerun,29.6195,51.6541,50.65,70,100,1.3,IR,1707704917
166,bayganin,48.6947,55.8742,7.57,84,44,11.16,KZ,1707704917
